"item_code"
"LUMBL_TA-X16.01"
"LUMBL_TA-X16.02"
"LUMBL_TA-X16.03"
"LUMBL_TA-X16.04"
"LUMBL_TA-X16.05"
"LUMBL_TA-X16.06"
"LUMBL_TA-X16.07"
"LUMBL_TA-X16.08"
"LUMBL_TA-X16.09"
"LUMBL_TA-X16.10"
"LUMBL_TA-X16.11"
"LUMBL_TA-X16.12"
"LUMBL_TA-X16.13"
"LUMBL_TA-X17.01"
"LUMBL_TA-X17.02"
"LUMBL_TA-X17.03"
"LUMBL_TA-X17.04"
"LUMBL_TA-X17.05"
"LUMBL_TA-X17.06"
"LUMBL_TA-X17.07"
"LUMBL_TA-X17.08"
"LUMBL_TA-X17.09"
"LUMBL_TA-X17.10"
"LUMBL_TA-X17.11"
"LUMBL_TA-X17.12"
"LUMBL_TA-X17.13"
"LUMBL_TA-X18.01"
"LUMBL_TA-X18.02"
"LUMBL_TA-X18.03"
"LUMBL_TA-X18.04"
"LUMBL_TA-X18.05"
"LUMBL_TA-X18.06"
"LUMBL_TA-X18.07"
"LUMBL_TA-X18.08"
"LUMBL_TA-X18.09"
"LUMBL_TA-X18.10"
"LUMBL_TA-X18.11"
"LUMBL_TA-X18.12"
"LUMBL_TA-X18.13"
"LUMBL_TA-X19.01"
"LUMBL_TA-X19.02"
"LUMBL_TA-X19.03"
"LUMBL_TA-X19.04"
"LUMBL_TA-X19.05"
"LUMBL_TA-X19.06"
"LUMBL_TA-X19.07"
"LUMBL_TA-X19.08"
"LUMBL_TA-X19.09"
"LUMBL_TA-X19.10"
"LUMBL_TA-X19.11"
"LUMBL_TA-X19.12"
"LUMBL_TA-X19.13"
"LUMBL_TA-X20.01"
"LUMBL_TA-X20.02"
"LUMBL_TA-X20.03"
"LUMBL_TA-X20.04"
"LUMBL_TA-X20.05"
"LUMBL_TA-X20.06"
"LUMBL_TA-X20.07"
"LUMBL_TA-X20.08"
"LUMBL_TA-X20.09"
"LUMBL_TA-X20.10"
"LUMBL_TA-X20.11"
"LUMBL_TA-X20.12"
"LUMBL_TA-X20.13"
"LUMBL_TA-X21.03"
"LUMBL_TA-X21.04"
